lap_distance_m,speed_kph,throttle,brake
945.0,216.4935182891586,1.0,0.0
950.0,218.5452417467108,1.0,0.0
955.0,220.5631608685124,1.0,0.0
960.0,222.58107999031398,1.0,0.0
965.0,224.3565838387791,1.0,0.0
970.0,226.06857757777342,1.0,0.0
975.0,227.78057131676775,1.0,0.0
980.0,229.4925650557621,1.0,0.0
985.0,231.14992373066028,1.0,0.0
990.0,232.78426672477664,1.0,0.0
995.0,234.418609718893,1.0,0.0
1000.0,236.04860121503037,1.0,0.0
1005.0,237.5486387159679,1.0,0.0
1010.0,239.04867621690542,1.0,0.0
1015.0,240.0,1.0,0.0
1020.0,240.0,1.0,0.0
1025.0,240.46480000000003,1.0,0.0
1030.0,242.46480000000003,1.0,0.0
1035.0,244.46480000000003,1.0,0.0
1040.0,246.46480000000003,1.0,0.0
1045.0,248.46480000000003,1.0,0.0
1050.0,250.10375,1.0,0.0
1055.0,250.55017857142857,1.0,0.0
1060.0,250.99660714285713,1.0,0.0
1065.0,251.4430357142857,1.0,0.0
1070.0,251.88946428571427,1.0,0.0
1075.0,252.26660052441358,1.0,0.0
1080.0,252.62093402310254,1.0,0.0
1085.0,252.9752675217915,1.0,0.0
1090.0,253.32960102048048,1.0,0.0
1095.0,253.68393451916944,1.0,0.0
1100.0,254.0,1.0,0.0
1105.0,254.0,1.0,0.0
1110.0,254.0,1.0,0.0
1115.0,254.1875413596859,1.0,0.0
1120.0,254.40812635108307,1.0,0.0
1125.0,254.62871134248027,1.0,0.0
1130.0,254.84929633387745,1.0,0.0
1135.0,255.0,1.0,0.0
1140.0,255.0,1.0,0.0
1145.0,255.04377906976742,0.9854069767441874,0.0
1150.0,255.91587209302324,0.6947093023255836,0.0
1155.0,256.78796511627905,0.40401162790697964,0.0
1160.0,257.6600581395349,0.11331395348837581,0.0
1165.0,255.7675609756098,0.05022987804877978,0.0
1170.0,252.10902439024392,0.13254695121951218,0.0
1175.0,248.450487804878,0.21486402439024457,0.0
1180.0,245.22929698440853,0.26845859396881705,0.0
1185.0,242.89524787601528,0.26379049575203056,0.0
1190.0,240.47681861189957,0.26680135804530564,0.0
1195.0,237.69393888796125,0.3029787944565038,0.0
1200.0,234.91105916402293,0.33915623086770186,0.0
1205.0,232.1281794400846,0.3753336672789,0.0
