lap_distance_m,session_uid,session_time,frame_id,player_car_index,lap_num,total_distance_m,sector,lap_invalid,pit_status,speed_kph,throttle,brake,steer,gear,rpm,g_lat,g_long,pos_x,pos_z,lap_time_s,drs
410.0,fastf1_2024_japan_q_VER,4226.989163434032,82,1,11,410.0,1,0,0,318.81104020621797,1.0,0.0,,8,11244.630568042501,,,431.1002106189683,63.013375876269215,88.197,12
415.0,fastf1_2024_japan_q_VER,4227.045590456131,83,1,11,415.0,1,0,0,318.96821854075637,1.0,0.0,,8,11250.760523089497,,,433.0963754676055,62.919068875546195,88.197,12
420.0,fastf1_2024_japan_q_VER,4227.102017492382,84,1,11,420.0,1,0,0,319.0,1.0,0.0,,8,11257.627186547794,,,437.8892055072791,62.7199300304706,88.197,12
425.0,fastf1_2024_japan_q_VER,4227.15844453222,85,1,11,425.0,1,0,0,319.0,1.0,0.0,,8,11264.68056652748,,,443.3908418914344,62.494221871120644,88.197,12
430.0,fastf1_2024_japan_q_VER,4227.214871572057,86,1,11,430.0,1,0,0,319.0,1.0,0.0,,8,11271.733946507165,,,448.89247827558967,62.26851371177068,88.197,12
435.0,fastf1_2024_japan_q_VER,4227.27125297054,87,1,11,435.0,1,0,0,319.0890810658792,1.0,0.0,,8,11277.0,,,453.9264430851438,62.06436757364832,88.197,12
440.0,fastf1_2024_japan_q_VER,4227.327499894537,88,1,11,440.0,1,0,0,319.44062434085635,1.0,0.0,,8,11277.0,,,457.5824931449061,61.92375026365746,88.197,12
445.0,fastf1_2024_japan_q_VER,4227.383746818534,89,1,11,445.0,1,0,0,319.79216761583353,1.0,0.0,,8,11277.0,,,461.2385432046685,61.7831329536666,88.197,12
450.0,fastf1_2024_japan_q_VER,4227.439923976609,90,1,11,450.0,1,0,0,320.08187134502924,1.0,0.0,,8,11286.906432748538,,,464.153216374269,61.66725146198831,88.197,12
455.0,fastf1_2024_japan_q_VER,4227.496000240327,91,1,11,455.0,1,0,0,320.282143715453,1.0,0.0,,8,11311.139389569815,,,465.99572218216775,61.5871425138188,88.197,12
460.0,fastf1_2024_japan_q_VER,4227.5520765040455,92,1,11,460.0,1,0,0,320.48241608587676,1.0,0.0,,8,11335.372346391092,,,467.83822799006646,61.50703356564928,88.197,12
465.0,fastf1_2024_japan_q_VER,4227.608152767764,93,1,11,465.0,1,0,0,320.6826884563006,1.0,0.0,,8,11359.60530321237,,,469.6807337979652,61.42692461747977,88.197,12
470.0,fastf1_2024_japan_q_VER,4227.664229031483,94,1,11,470.0,1,0,0,320.88296082672434,1.0,0.0,,8,11383.838260033646,,,471.523239605864,61.34681566931026,88.197,12
475.0,fastf1_2024_japan_q_VER,4227.720304128408,95,1,11,475.0,1,0,0,321.0,1.0,0.0,,8,11401.786920866334,,,474.2749842293404,61.227174598724325,88.197,12
480.0,fastf1_2024_japan_q_VER,4227.776377584636,96,1,11,480.0,1,0,0,321.0,1.0,0.0,,8,11410.898857503329,,,478.3052638957034,61.0519450480129,88.197,12
485.0,fastf1_2024_japan_q_VER,4227.832451040864,97,1,11,485.0,1,0,0,321.0,1.0,0.0,,8,11420.010794140324,,,482.33554356206633,60.87671549730146,88.197,12
490.0,fastf1_2024_japan_q_VER,4227.888426841198,98,1,11,490.0,1,0,0,321.1309451716588,1.0,0.0,,8,11416.012344528812,,,486.07727209204825,60.70833837983882,88.197,12
495.0,fastf1_2024_japan_q_VER,4227.944326594307,99,1,11,495.0,1,0,0,321.3638608096148,1.0,0.0,,8,11401.8044906135,,,489.59429822518285,60.54529743326967,88.197,12
500.0,fastf1_2024_japan_q_VER,4228.000226347417,100,1,11,500.0,1,0,0,321.5967764475707,1.0,0.0,,8,11387.596636698188,,,493.1113243583174,60.38225648670052,88.197,12
505.0,fastf1_2024_japan_q_VER,4228.056126100526,101,1,11,505.0,1,0,0,321.82969208552663,1.0,0.0,,8,11373.388782782877,,,496.628350491452,60.219215540131366,88.197,12
510.0,fastf1_2024_japan_q_VER,4228.112026833631,102,1,11,510.0,1,0,0,322.0,1.0,0.0,,8,11364.803220035777,,,500.52236135957065,60.047406082289804,88.197,12
515.0,fastf1_2024_japan_q_VER,4228.167930232557,103,1,11,515.0,1,0,0,322.0,1.0,0.0,,8,11371.511627906977,,,505.44186046511624,59.85174418604651,88.197,12
520.0,fastf1_2024_japan_q_VER,4228.223833631484,104,1,11,520.0,1,0,0,322.0,1.0,0.0,,8,11378.220035778175,,,510.3613595706619,59.65608228980322,88.197,12
525.0,fastf1_2024_japan_q_VER,4228.279737030411,105,1,11,525.0,1,0,0,322.0,1.0,0.0,,8,11384.928443649374,,,515.2808586762075,59.46042039355993,88.197,12
530.0,fastf1_2024_japan_q_VER,4228.335637909349,106,1,11,530.0,1,0,0,322.0,1.0,0.0,,8,11393.600642847161,,,519.8427353612522,59.271206968835884,88.197,12
535.0,fastf1_2024_japan_q_VER,4228.391537662458,107,1,11,535.0,1,0,0,322.0,1.0,0.0,,8,11403.150184003354,,,524.2448409186193,59.08487445847114,88.197,12
540.0,fastf1_2024_japan_q_VER,4228.447437415568,108,1,11,540.0,1,0,0,322.0,1.0,0.0,,8,11412.699725159548,,,528.6469464759864,58.8985419481064,88.197,12
545.0,fastf1_2024_japan_q_VER,4228.503337168678,109,1,11,545.0,1,0,0,322.0,1.0,0.0,,8,11422.24926631574,,,533.0490520333536,58.71220943774165,88.197,12
550.0,fastf1_2024_japan_q_VER,4228.559168764223,110,1,11,550.0,1,0,0,322.0923698509265,1.0,0.0,,8,11426.244972832397,,,536.6606464496355,58.563052059629406,88.197,12
555.0,fastf1_2024_japan_q_VER,4228.614897181071,111,1,11,555.0,1,0,0,322.3245715877955,1.0,0.0,,8,11421.833139831886,,,539.075544513073,58.470171364881814,88.197,12
560.0,fastf1_2024_japan_q_VER,4228.67062559792,112,1,11,560.0,1,0,0,322.55677332466445,1.0,0.0,,8,11417.421306831375,,,541.4904425765105,58.377290670134215,88.197,12
565.0,fastf1_2024_japan_q_VER,4228.726354014768,113,1,11,565.0,1,0,0,322.78897506153345,1.0,0.0,,8,11413.009473830863,,,543.905340639948,58.284409975386616,88.197,12
570.0,fastf1_2024_japan_q_VER,4228.7820821955975,114,1,11,570.0,1,0,0,323.0,1.0,0.0,,8,11408.872945110059,,,546.1,58.2,88.197,12
575.0,fastf1_2024_japan_q_VER,4228.837808024519,115,1,11,575.0,1,0,0,323.0,1.0,0.0,,8,11407.479799387016,,,546.1,58.2,88.197,12
580.0,fastf1_2024_japan_q_VER,4228.893533853441,116,1,11,580.0,1,0,0,323.0,1.0,0.0,,8,11406.086653663973,,,546.1,58.2,88.197,12
585.0,fastf1_2024_japan_q_VER,4228.9492222222225,117,1,11,585.0,1,0,0,323.0509259259259,1.0,0.0,,8,11404.592592592593,,,546.7518518518519,58.17453703703704,88.197,12
590.0,fastf1_2024_japan_q_VER,4229.004777777777,118,1,11,590.0,1,0,0,323.2824074074074,1.0,0.0,,8,11402.74074074074,,,549.7148148148149,58.0587962962963,88.197,12
595.0,fastf1_2024_japan_q_VER,4229.060333333333,119,1,11,595.0,1,0,0,323.5138888888889,1.0,0.0,,8,11400.888888888889,,,552.6777777777778,57.94305555555556,88.197,12
600.0,fastf1_2024_japan_q_VER,4229.115888888889,120,1,11,600.0,1,0,0,323.7453703703704,1.0,0.0,,8,11399.037037037036,,,555.6407407407407,57.82731481481482,88.197,12
605.0,fastf1_2024_japan_q_VER,4229.171444444444,121,1,11,605.0,1,0,0,323.97685185185185,1.0,0.0,,8,11397.185185185184,,,558.6037037037037,57.71157407407408,88.197,12
610.0,fastf1_2024_japan_q_VER,4229.227156041016,122,1,11,610.0,1,0,0,323.7492197949175,1.0,0.0,,8,11399.00624164066,,,562.034752563531,57.54953187695052,88.197,12
615.0,fastf1_2024_japan_q_VER,4229.28288497548,123,1,11,615.0,1,0,0,323.47057512260363,1.0,0.0,,8,11401.235399019171,,,565.5178109674542,57.38234507356219,88.197,10
620.0,fastf1_2024_japan_q_VER,4229.338613909942,124,1,11,620.0,1,0,0,323.19193045028976,1.0,0.0,,8,11403.464556397681,,,569.0008693713776,57.21515827017387,88.197,10
625.0,fastf1_2024_japan_q_VER,4229.39455959938,125,1,11,625.0,1,0,0,322.7805050077585,1.0,0.0,,8,11399.1833827056,,,572.409676964311,57.0561010015517,88.197,10
630.0,fastf1_2024_japan_q_VER,4229.450985047257,126,1,11,630.0,1,0,0,322.07518690929606,1.0,0.0,,8,11380.492453096347,,,575.654140217238,56.915037381859214,88.197,10
635.0,fastf1_2024_japan_q_VER,4229.507410495134,127,1,11,635.0,1,0,0,321.3698688108337,1.0,0.0,,8,11361.801523487093,,,578.8986034701651,56.77397376216673,88.197,10
640.0,fastf1_2024_japan_q_VER,4229.56383594301,128,1,11,640.0,1,0,0,320.6645507123713,1.0,0.0,,8,11343.110593877838,,,582.1430667230921,56.63291014247425,88.197,8
645.0,fastf1_2024_japan_q_VER,4229.620261390887,129,1,11,645.0,1,0,0,319.95923261390885,1.0,0.0,,8,11324.419664268586,,,585.3875299760192,56.49184652278177,88.197,8
650.0,fastf1_2024_japan_q_VER,4229.676686838764,130,1,11,650.0,1,0,0,319.25391451544647,1.0,0.0,,8,11305.728734659331,,,588.6319932289463,56.35078290308929,88.197,8
655.0,fastf1_2024_japan_q_VER,4229.7334568499,131,1,11,655.0,1,0,0,318.3164340643691,1.0,0.0,,8,11277.125890059811,,,592.9899743662774,56.026573625747645,88.197,8
660.0,fastf1_2024_japan_q_VER,4229.790420677869,132,1,11,660.0,1,0,0,317.2483622899459,1.0,0.0,,8,11242.947593278268,,,597.9743093135858,55.59934491597836,88.197,8
665.0,fastf1_2024_japan_q_VER,4229.847384505839,133,1,11,665.0,1,0,0,316.18029051552264,1.0,0.0,,8,11208.769296496725,,,602.9586442608943,55.17211620620906,88.197,8
670.0,fastf1_2024_japan_q_VER,4229.904800333544,134,1,11,670.0,1,0,0,315.2829949968371,0.9904399332911611,0.2390016677209715,,8,11173.602794870321,,,603.8,55.1,88.197,8
675.0,fastf1_2024_japan_q_VER,4229.962307953304,135,1,11,675.0,1,0,0,314.4203807004428,0.9789384093392374,0.526539766519064,,8,11138.235608718154,,,603.8,55.1,88.197,8
680.0,fastf1_2024_japan_q_VER,4230.019815573063,136,1,11,680.0,1,0,0,313.55776640404855,0.9674368853873138,0.8140778653171564,,8,11102.868422565989,,,603.8,55.1,88.197,8
685.0,fastf1_2024_japan_q_VER,4230.078274204876,137,1,11,685.0,1,0,0,311.75900471556133,0.8749031804956334,1.0,,8,11027.966840573892,,,603.9240995284438,55.055678739841476,88.197,8
690.0,fastf1_2024_japan_q_VER,4230.138472860439,138,1,11,690.0,1,0,0,308.24741647436537,0.6341085582421981,1.0,,8,10880.730962175177,,,604.2752583525635,54.93026487408448,88.197,8
695.0,fastf1_2024_japan_q_VER,4230.198671516003,139,1,11,695.0,1,0,0,304.73582823316946,0.39331393598876274,1.0,,8,10733.495083776463,,,604.626417176683,54.80485100832748,88.197,8
700.0,fastf1_2024_japan_q_VER,4230.258870171566,140,1,11,700.0,1,0,0,301.22423999197355,0.15251931373532746,1.0,,8,10586.259205377748,,,604.9775760008026,54.679437142570485,88.197,8
705.0,fastf1_2024_japan_q_VER,4230.3205679845705,141,1,11,705.0,1,0,0,297.1342012214722,0.0,1.0,,8,10498.990196078432,,,605.0527000964321,54.580360012857604,88.197,8
710.0,fastf1_2024_japan_q_VER,4230.3848559948565,142,1,11,710.0,1,0,0,292.04473374049076,0.0,1.0,,8,10515.330065359478,,,604.650900032144,54.52678667095253,88.197,8
715.0,fastf1_2024_japan_q_VER,4230.449144005143,143,1,11,715.0,1,0,0,286.95526625950924,0.0,1.0,,8,10531.669934640522,,,604.2490999678561,54.47321332904747,88.197,8
